"No.","Time","Source","Destination","Protocol","Info","Length","Delta"
"206","0.330877","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000771"
"207","0.332016","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.001139"
"208","0.332654","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000638"
"209","0.333532","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000878"
"210","0.334428","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000896"
"211","0.335294","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000866"
"212","0.336282","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000988"
"213","0.337165","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000883"
"214","0.338050","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000885"
"215","0.338936","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000886"
"216","0.339821","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000885"
"217","0.340705","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000884"
"218","0.341593","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000888"
"219","0.342478","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000885"
"220","0.343378","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000900"
"221","0.344260","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000882"
"222","0.345142","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000882"
"223","0.346023","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000881"
"224","0.346934","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000911"
"225","0.347798","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000864"
"226","0.348684","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000886"
"227","0.349570","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000886"
"228","0.350696","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.001126"
"229","0.351469","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000773"
"230","0.352347","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000878"
"231","0.353301","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000954"
"232","0.354319","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.001018"
"233","0.354997","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000678"
"234","0.356009","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.001012"
"235","0.356847","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000838"
"236","0.357492","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000645"
"237","0.358564","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.001072"
"238","0.359469","10.0.0.1","10.0.0.2","DNS","Unknown operation (11) 0x5858[Malformed Packet]","554","0.000905"
